userId,userName,hour,sentiment
109491602528257114,martingelin,11,0.02127659574468
111825369875335844,InstantArcade,00,0.05
109374015892055101,JasonStiff,14,0.0
110311567254606498,bbcnewsfeed,13,-0.009523809523809
113200651710491011,USAToday,15,-0.020408163265306003
112861298795622268,hermeticlibrary,19,0.0
111110309053897502,ukraine,14,-0.005813953488372
109989913866517927,ClintBarton,16,-0.038095238095238
109391310429908853,salad_bar_breath,13,0.0
113160956497371641,zaccomode,05,0.043478260869565
113398025966287784,f1mania,14,-0.023529411764705
109344808530420677,taiyo,02,-0.022222222222222
109361178362205762,GeekAndDad,05,0.020833333333333003
110073401734597817,quasirealsmiths,21,0.0
109377791427383892,mdmrn,16,0.0021929824561400003
113443732887173058,TheHindu,14,-0.020202020202020003
109564636057862628,DoubleTreble,08,0.10389610389610301
109477432158629143,hhwerbefrei,15,0.023668639053254
109343777457204588,WillyECoyote69,00,0.08571428571428501
112094600272746858,f7922a0adb3fa4dda5eecaa62f6f7ee6159f7f55e08036686c68e08382c34788,23,0.0
113443732887173058,TheHindu,12,0.0
109362721154478336,KimPerales,15,-0.029761904761904004
109543285562339262,roque,02,0.103448275862068
109392096256908422,beka_valentine,08,0.15
113200651710491011,USAToday,00,-0.067961165048543
109388211935357053,cults3d,16,0.019230769230769003
112318194857036680,JenYetAgain,19,0.0
112595227942677067,BritishKoalaTea,13,0.0
109376090379546483,freaktechnik,17,0.33333333333333304
109324983345470642,itsfoss,02,0.0
